,Ti,Al,Mn,Nb,Cr,Mo,V,Zr,Hf,O,Ta,Si,W,C,B,Fe,Ru,Ni,Y,Re,TestT,logYS,logTS,logEl,logHV,logCost
101,45.0,47.0,0.0,6.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1073,2.510545010206612,2.69196510276736,1.451018452155457,,1.494692481658843
102,49.8,47.3,0.0,0.0,0.0,0.0,0.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,1.5,0.0,0,0.0,0.0,298,2.71,2.716003343634799,-0.2218487496163564,,1.464485726030961
103,49.8,47.3,0.0,0.0,0.0,0.0,0.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,1.5,0.0,0,0.0,0.0,1073,2.61,2.627365856592732,1.602059991327962,,1.464485726030961
104,51.05,43.9,0.0,4.0,0.0,0.95,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0.0,0.0,298,2.902546779313991,2.902546779313991,-0.20999999344348907,,0.6793239682575021
105,51.05,43.9,0.0,4.0,0.0,0.95,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0.0,0.0,298,2.888179493918325,2.946943270697826,-0.2365720064370627,,0.6793239682575021
106,51.05,43.9,0.0,4.0,0.0,0.95,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0.0,0.0,298,2.88252453795488,2.959518376972998,-0.0861861476162833,,0.6793239682575021
107,51.05,43.9,0.0,4.0,0.0,0.95,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0.0,0.0,298,2.906335041805091,2.991669007379949,-0.0457574905606751,,0.6793239682575021
108,51.05,43.9,0.0,4.0,0.0,0.95,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0.0,0.0,298,2.859738566197147,2.88930170250631,-0.5228787452803376,,0.6793239682575021
109,50.0,43.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,298,2.77,2.826074802700826,-0.3979400086720376,,1.00614493641141
110,50.0,43.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1023,2.75,2.809559714635268,0.8750612633917001,,1.00614493641141
111,50.0,43.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,298,2.77,2.989004615698537,0.1760912590556812,,1.00614493641141
112,50.0,43.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1023,2.75,2.977723605288848,1.397940008672038,,1.00614493641141
113,50.0,43.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,298,2.77,2.913813852383717,0.380211241711606,,1.00614493641141
114,50.0,43.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1023,2.75,2.886490725172482,1.602059991327962,,1.00614493641141
115,50.0,43.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,298,2.77,2.934498451243568,0.0791812460476248,,1.00614493641141
116,50.0,43.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1023,2.75,2.919078092376074,1.491361693834273,,1.00614493641141
117,55.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.64,2.76,0.029999999329447746,,0.5860016803521365
